system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory,start_time,index,pipeline_name,nb_input_graphs,node2vec_dimensions,node2vec_walk_length,node2vec_num_walks,node2vec_p,node2vec_q,node2vec_window,node2vec_batch_words,node2vec_workers,training_epochs,node_embedding,nb_node_features,imbalance_ratio,precision_class_0,recall_class_0,f1_score_class_0,support_class_0,precision_class_1,recall_class_1,f1_score_class_1,support_class_1,true_positives,true_negatives,false_positives,false_negatives,AUC,end_time,duration
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59410419712,2023_10_19_15_42_19_576304,0,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_42_20_257857,0.681553 total sec (00h 00m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59454529536,2023_10_19_15_43_04_275835,2,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_17_510692,193.234857 total sec (00h 03m 13s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59454529536,2023_10_19_15_43_04_275818,1,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_37_518938,213.24312 total sec (00h 03m 33s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59454529536,2023_10_19_15_43_04_275495,4,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_39_379500,215.104005 total sec (00h 03m 35s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59454529536,2023_10_19_15_43_04_275816,0,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_40_914809,216.638993 total sec (00h 03m 36s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59454529536,2023_10_19_15_43_04_275543,3,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_50_873045,226.597502 total sec (00h 03m 46s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,59453497344,2023_10_19_15_43_04_276242,5,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_46_53_269586,228.993344 total sec (00h 03m 48s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58616246272,2023_10_19_15_46_17_514262,6,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_49_48_684937,211.170675 total sec (00h 03m 31s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58614611968,2023_10_19_15_46_37_523555,7,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_50_07_630640,210.107085 total sec (00h 03m 30s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58581307392,2023_10_19_15_46_40_923891,9,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_50_22_629023,221.705132 total sec (00h 03m 41s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58581585920,2023_10_19_15_46_39_383123,8,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_50_23_193722,223.810599 total sec (00h 03m 43s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58609565696,2023_10_19_15_46_53_273442,11,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_50_46_098287,232.824845 total sec (00h 03m 52s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58596589568,2023_10_19_15_46_50_889650,10,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_50_51_776463,240.886813 total sec (00h 04m 00s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58591326208,2023_10_19_15_49_48_687426,12,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_53_28_915562,220.228136 total sec (00h 03m 40s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58535104512,2023_10_19_15_50_07_632945,13,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_53_51_318526,223.685581 total sec (00h 03m 43s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58416963584,2023_10_19_15_50_23_198027,15,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_54_02_367984,219.169957 total sec (00h 03m 39s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58478956544,2023_10_19_15_50_22_642561,14,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_54_05_335507,222.692946 total sec (00h 03m 42s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58363322368,2023_10_19_15_50_46_099899,16,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_54_24_865612,218.765713 total sec (00h 03m 38s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58298630144,2023_10_19_15_50_51_778625,17,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_54_40_381030,228.602405 total sec (00h 03m 48s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58203267072,2023_10_19_15_53_28_930268,18,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_56_44_593435,195.663167 total sec (00h 03m 15s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58239479808,2023_10_19_15_53_51_320413,19,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_57_33_496014,222.175601 total sec (00h 03m 42s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58231701504,2023_10_19_15_54_02_369419,20,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_57_43_428073,221.058654 total sec (00h 03m 41s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58244128768,2023_10_19_15_54_24_892807,22,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_57_46_284569,201.391762 total sec (00h 03m 21s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58229096448,2023_10_19_15_54_05_337447,21,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_57_51_090678,225.753231 total sec (00h 03m 45s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58239524864,2023_10_19_15_54_40_395759,23,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_15_58_22_990258,222.594499 total sec (00h 03m 42s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58327490560,2023_10_19_15_56_44_595380,24,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_00_27_727034,223.131654 total sec (00h 03m 43s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58294398976,2023_10_19_15_57_33_497742,25,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_01_05_433028,211.935286 total sec (00h 03m 31s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58288476160,2023_10_19_15_57_46_287742,27,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_01_19_865608,213.577866 total sec (00h 03m 33s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58299285504,2023_10_19_15_57_43_438651,26,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_01_30_962370,227.523719 total sec (00h 03m 47s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58293030912,2023_10_19_15_57_51_099469,28,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_01_34_225453,223.125984 total sec (00h 03m 43s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58257764352,2023_10_19_15_58_23_022585,29,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_01_47_125567,204.102982 total sec (00h 03m 24s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58229768192,2023_10_19_16_01_34_227105,34,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_12_177385,157.95028 total sec (00h 02m 37s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58282450944,2023_10_19_16_00_27_728526,30,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_12_891180,225.162654 total sec (00h 03m 45s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58278408192,2023_10_19_16_01_05_440070,31,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_25_626301,200.186231 total sec (00h 03m 20s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58232410112,2023_10_19_16_01_47_143764,35,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_26_698604,159.55484 total sec (00h 02m 39s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58224087040,2023_10_19_16_01_30_967346,33,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_26_901944,175.934598 total sec (00h 02m 55s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,58277019648,2023_10_19_16_01_19_867767,32,first-gcn-pipeline,32,None,None,None,None,None,None,None,None,5,semantic,39,189.55,0.994752033586985,1.0,0.9973691133912128,11373.0,0.0,0.0,0.0,60.0,0,11373,0,60,0.5,2023_10_19_16_04_26_939288,187.071521 total sec (00h 03m 07s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57486184448,2023_10_19_18_45_29_406858,2,first-gcn-pipeline,600,None,None,None,None,None,None,None,None,20,semantic,39,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_19_19_02_06_969510,997.562652 total sec (00h 16m 37s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57486700544,2023_10_19_18_45_29_406785,0,first-gcn-pipeline,600,None,None,None,None,None,None,None,None,20,semantic,39,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_19_19_02_16_506484,1007.099699 total sec (00h 16m 47s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57486184448,2023_10_19_18_45_29_406858,1,first-gcn-pipeline,600,None,None,None,None,None,None,None,None,20,semantic,39,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_19_19_02_18_625012,1009.218154 total sec (00h 16m 49s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042375,0,first-gcn-pipeline,600,128,16,50,0.5,0.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_01_30_07_092088,20595.049713 total sec (05h 43m 15s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042448,3,first-gcn-pipeline,600,128,16,50,1.0,0.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_02_08_53_744840,22921.702392 total sec (06h 22m 01s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042146,4,first-gcn-pipeline,600,128,16,50,1.0,1.0,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_02_25_59_122334,23947.080188 total sec (06h 39m 07s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042098,1,first-gcn-pipeline,600,128,16,50,0.5,1.0,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_02_27_48_073037,24056.030939 total sec (06h 40m 56s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042445,5,first-gcn-pipeline,600,128,16,50,1.0,1.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_02_27_49_485085,24057.44264 total sec (06h 40m 57s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,57375629312,2023_10_19_19_46_52_042295,2,first-gcn-pipeline,600,128,16,50,0.5,1.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_02_27_50_449510,24058.407215 total sec (06h 40m 58s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,49199095808,2023_10_20_01_30_07_098507,6,first-gcn-pipeline,600,128,16,50,1.5,0.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_05_49_23_154244,15556.055737 total sec (04h 19m 16s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,46565687296,2023_10_20_02_27_49_494559,10,first-gcn-pipeline,600,128,32,50,0.5,1.0,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_08_48_25_480505,22835.985946 total sec (06h 20m 35s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,47550148608,2023_10_20_02_27_48_082254,9,first-gcn-pipeline,600,128,32,50,0.5,0.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_09_33_32_332008,25544.249754 total sec (07h 05m 44s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,44436488192,2023_10_20_02_27_50_456145,11,first-gcn-pipeline,600,128,32,50,0.5,1.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_09_34_09_200945,25578.7448 total sec (07h 06m 18s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,48600641536,2023_10_20_02_08_53_779095,7,first-gcn-pipeline,600,128,16,50,1.5,1.0,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_09_34_33_850874,26740.071779 total sec (07h 25m 40s)
Linux,nixos,6.1.57,#1-NixOS SMP PREEMPT_DYNAMIC Tue Oct 10 20:00:46 UTC 2023,x86_64,,14,20,67171385344,48076333056,2023_10_20_02_25_59_129812,8,first-gcn-pipeline,600,128,16,50,1.5,1.5,10,8,6,20,semantic-node2vec,167,170.04468599033817,0.994153574580759,1.0,0.9970682170652427,140797.0,0.0,0.0,0.0,828.0,0,140797,0,828,0.5,2023_10_20_09_34_36_497484,25717.367672 total sec (07h 08m 37s)
